HAUPTNR,TITEL,JAHR,URL,NAMIDENT,AUSST_DATUM,AUSST_ORT,AUSST_TITEL
6005741,"Der Mäher",1878,http://server1102.cs.technik.fhnw.ch/bilder/007820E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006302,"Bildnis der kranken Valentine Godé-Darel",1914,http://server1102.cs.technik.fhnw.ch/bilder/41533E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6007981,"Entzücktes Weib",1911,http://server1102.cs.technik.fhnw.ch/bilder/41528E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008006,Ergriffenheit,1894,http://server1102.cs.technik.fhnw.ch/bilder/053612E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008157,"Der Frühling",1910,http://server1102.cs.technik.fhnw.ch/bilder/017772E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6007270,"Die Schlacht bei Murten",1917,http://server1102.cs.technik.fhnw.ch/bilder/000205CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6011796,Schwinger,1895,http://server1102.cs.technik.fhnw.ch/bilder/008731E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6004848,"Thunersee mit Stockhornkette",1904,http://server1102.cs.technik.fhnw.ch/bilder/51248DS1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008481,"Lied in der Ferne",1914,http://server1102.cs.technik.fhnw.ch/bilder/61518CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006394,"Bildnis Emily Russ-Young",1917,http://server1102.cs.technik.fhnw.ch/bilder/11514E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
9905398,"Bezauberter Knabe",1893,http://server1102.cs.technik.fhnw.ch/bilder/079248CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005712,Einmütigkeit,1912,http://server1102.cs.technik.fhnw.ch/bilder/25553CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006486,"Mutter mit Kind in der Küche",1889,http://server1102.cs.technik.fhnw.ch/bilder/27199DS1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005421,"Der Buchenwald (Le Bois de Châtelaine)",1885,http://server1102.cs.technik.fhnw.ch/bilder/009269E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005263,"Bachbett am See",1905,http://server1102.cs.technik.fhnw.ch/bilder/009538E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006668,"Der Traum",1897,http://server1102.cs.technik.fhnw.ch/bilder/008730E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005604,Selbstbildnis,1912,http://server1102.cs.technik.fhnw.ch/bilder/000204CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005170,"Am Ufer des Manzanares",1878,http://server1102.cs.technik.fhnw.ch/bilder/7826CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006277,"Die sterbende Valentine Godé-Darel",1915,http://server1102.cs.technik.fhnw.ch/bilder/15495CE1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6006001,"Schreitende, sich umdrehend",1910,http://server1102.cs.technik.fhnw.ch/bilder/017384E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6007473,"Rückzug von Marignano",1905,http://server1102.cs.technik.fhnw.ch/bilder/001879E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005738,Ahasver,1886,http://server1102.cs.technik.fhnw.ch/bilder/714DS1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6007054,"Einmütigkeit, Redner",1913,http://server1102.cs.technik.fhnw.ch/bilder/43566E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6004996,"Genfersee mit Jura",1908,http://server1102.cs.technik.fhnw.ch/bilder/009249E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005245,"Die Schwarze Lütschine",1905,http://server1102.cs.technik.fhnw.ch/bilder/1876DS1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6009902,"Die Liebe, Studie",1907,http://server1102.cs.technik.fhnw.ch/bilder/073495E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6004741,"Das Breithorn",1911,http://server1102.cs.technik.fhnw.ch/bilder/009195E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005086,"Frühlingswiese am Salève",1888,http://server1102.cs.technik.fhnw.ch/bilder/023381E2.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6008386,"Der Holzfäller",1910,http://server1102.cs.technik.fhnw.ch/bilder/040451E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6005048,"Der Grammont",1905,http://server1102.cs.technik.fhnw.ch/bilder/041116E1.jpg,"Hodler, Ferdinand",8.5.1995-8.7.1995,Hartford,"Ferdinand Hodler. Views & Visions"
6004886,"Thunersee mit Niesen",1910,http://server1102.cs.technik.fhnw.ch/bilder/009178E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6004839,"Thunersee mit Stockhornkette in Wolken",1912,http://server1102.cs.technik.fhnw.ch/bilder/009232E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005091,"Weiden an der Jonction",1878,http://server1102.cs.technik.fhnw.ch/bilder/033942E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005278,"Mühlebach bei Langenthal",1876,http://server1102.cs.technik.fhnw.ch/bilder/040459E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6004777,Gantrischkette,1901,http://server1102.cs.technik.fhnw.ch/bilder/035302E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005456,"Landschaft mit zwei kleinen Bäumen",,http://server1102.cs.technik.fhnw.ch/bilder/040460E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005617,Selbstbildnis,1917,http://server1102.cs.technik.fhnw.ch/bilder/007821E2.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005678,"Selbstbildnis (mit Federhut und Pfeife)",1875,http://server1102.cs.technik.fhnw.ch/bilder/021912E2.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6006218,"Bildnis Mathias Morhardt",1911,http://server1102.cs.technik.fhnw.ch/bilder/040450E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6006841,"Die Andacht",1881,http://server1102.cs.technik.fhnw.ch/bilder/14528E2.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6007853,"Schreitendes Weib",1910,http://server1102.cs.technik.fhnw.ch/bilder/001890E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
9899083,"Der Angler",1879,http://server1102.cs.technik.fhnw.ch/bilder/079203E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6007010,Einmütigkeit,1913,http://server1102.cs.technik.fhnw.ch/bilder/040456E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005802,"Der Netzflicker",1883,http://server1102.cs.technik.fhnw.ch/bilder/043562E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6004733,"Die Aare bei Solothurn",,http://server1102.cs.technik.fhnw.ch/bilder/007822E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6007859,"Die Empfindung",1911,http://server1102.cs.technik.fhnw.ch/bilder/011047E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005741,"Der Mäher",1878,http://server1102.cs.technik.fhnw.ch/bilder/007820E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6008157,"Der Frühling",1910,http://server1102.cs.technik.fhnw.ch/bilder/017772E2.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6004804,"Der Mönch mit Wolken",1911,http://server1102.cs.technik.fhnw.ch/bilder/001614E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6006521,"Bildnis Gertrud Müller",1911,http://server1102.cs.technik.fhnw.ch/bilder/062373E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005092,Samoëns,1882,http://server1102.cs.technik.fhnw.ch/bilder/035669E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
9634253,"Der Grammont",1906,http://server1102.cs.technik.fhnw.ch/bilder/075600E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005123,"Blick von Montana gegen Tour Noir, Aiguilles d'Argentière und Chardonnet",1915,http://server1102.cs.technik.fhnw.ch/bilder/009255E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005050,"Weidenbaum am Genfersee",1891,http://server1102.cs.technik.fhnw.ch/bilder/043564E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6006089,"Bildnis Georges Navazza",1916,http://server1102.cs.technik.fhnw.ch/bilder/007107E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6004999,"Genfersee mit Mont-Blanc am Nachmittag (März)",1918,http://server1102.cs.technik.fhnw.ch/bilder/9260E2.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
