HAUPTNR,TITEL,JAHR,URL,NAMIDENT,TITEL
9894840,"10 Minuten Plastik I",1956,http://server1102.cs.technik.fhnw.ch/bilder/78924S1.jpg,"Luginbühl, Bernhard","X Mas Schau"
9894900,Kehrichtengel,1956,http://server1102.cs.technik.fhnw.ch/bilder/78972E1.jpg,"Luginbühl, Bernhard","X Mas Schau"
